gene_id	xtr_pep
PECUL23A000570	ENSXETP00000098088
PECUL23A000571	ENSXETP00000066019
PECUL23A000574	ENSXETP00000063111
PECUL23A000576	ENSXETP00000075928
PECUL23A000578	ENSXETP00000055009
PECUL23A000579	ENSXETP00000072826
PECUL23A000580	ENSXETP00000013585
PECUL23A000582	ENSXETP00000016072
PECUL23A000584	ENSXETP00000074005
PECUL23A000586	ENSXETP00000003946
PECUL23A000594	ENSXETP00000095763
PECUL23A000595	ENSXETP00000058414
PECUL23A000597	ENSXETP00000021498
PECUL23A000599	ENSXETP00000063027
PECUL23A000601	ENSXETP00000016336
PECUL23A000602	ENSXETP00000016108
PECUL23A000606	ENSXETP00000086279
PECUL23A000608	ENSXETP00000100052
PECUL23A000631	ENSXETP00000047604
PECUL23A000638	ENSXETP00000087719
PECUL23A000643	ENSXETP00000087912
PECUL23A000646	ENSXETP00000061276
PECUL23A000650	ENSXETP00000092415
PECUL23A000652	ENSXETP00000047755
PECUL23A000654	ENSXETP00000022445
PECUL23A000655	ENSXETP00000093106
PECUL23A000657	ENSXETP00000040637
PECUL23A000658	ENSXETP00000066019
PECUL23A000660	ENSXETP00000042273
PECUL23A000663	ENSXETP00000100694
PECUL23A000671	ENSXETP00000033837
PECUL23A000673	ENSXETP00000082195
PECUL23A000674	ENSXETP00000101521
PECUL23A000676	ENSXETP00000003610
PECUL23A000677	ENSXETP00000098088
PECUL23A000679	ENSXETP00000052896
PECUL23A000684	ENSXETP00000018496
PECUL23A000692	ENSXETP00000016581
PECUL23A000697	ENSXETP00000080610
PECUL23A000698	ENSXETP00000078675
PECUL23A000701	ENSXETP00000089245
PECUL23A000702	ENSXETP00000070627
PECUL23A000703	ENSXETP00000078675
PECUL23A000704	ENSXETP00000090774
PECUL23A000707	ENSXETP00000056824
PECUL23A000708	ENSXETP00000095277
PECUL23A000709	ENSXETP00000076185
PECUL23A000710	ENSXETP00000073551
PECUL23A000711	ENSXETP00000064840
PECUL23A000713	ENSXETP00000064608
PECUL23A000715	ENSXETP00000066705
PECUL23A000716	ENSXETP00000031486
PECUL23A000717	ENSXETP00000022778
PECUL23A000718	ENSXETP00000048300
PECUL23A000719	ENSXETP00000061898
PECUL23A000721	ENSXETP00000035058
PECUL23A000725	ENSXETP00000061914
PECUL23A000726	ENSXETP00000035812
PECUL23A000728	ENSXETP00000011187
PECUL23A000732	ENSXETP00000046227
PECUL23A000734	ENSXETP00000025499
PECUL23A000735	ENSXETP00000059177
PECUL23A000741	ENSXETP00000097080
PECUL23A000742	ENSXETP00000061280
PECUL23A000743	ENSXETP00000063787
PECUL23A000747	ENSXETP00000017044
PECUL23A000749	ENSXETP00000089410
PECUL23A000752	ENSXETP00000037635
PECUL23A000753	ENSXETP00000098249
PECUL23A000754	ENSXETP00000012241
PECUL23A000756	ENSXETP00000060541
PECUL23A000759	ENSXETP00000095489
PECUL23A000762	ENSXETP00000086983
PECUL23A000763	ENSXETP00000023148
PECUL23A000768	ENSXETP00000100483
PECUL23A000769	ENSXETP00000086177
PECUL23A000772	ENSXETP00000067994
PECUL23A000777	ENSXETP00000100067
PECUL23A000779	ENSXETP00000085920
PECUL23A000786	ENSXETP00000003278
PECUL23A000789	ENSXETP00000082357
PECUL23A000792	ENSXETP00000034324
PECUL23A000793	ENSXETP00000061441
PECUL23A000796	ENSXETP00000090774
PECUL23A000797	ENSXETP00000079352
PECUL23A000799	ENSXETP00000006860
PECUL23A000802	ENSXETP00000063584
PECUL23A000803	ENSXETP00000050507
PECUL23A000805	ENSXETP00000086365
PECUL23A000806	ENSXETP00000077969
PECUL23A000809	ENSXETP00000082522
PECUL23A000811	ENSXETP00000083938
PECUL23A000812	ENSXETP00000066019
PECUL23A000816	ENSXETP00000066019
PECUL23A000819	ENSXETP00000071886
PECUL23A000822	ENSXETP00000094263
PECUL23A000823	ENSXETP00000051209
PECUL23A000824	ENSXETP00000066019
PECUL23A000825	ENSXETP00000097790
PECUL23A000826	ENSXETP00000087707
PECUL23A000827	ENSXETP00000061723
PECUL23A000828	ENSXETP00000018720
PECUL23A000830	ENSXETP00000039073
PECUL23A000831	ENSXETP00000092182
PECUL23A000832	ENSXETP00000095806
PECUL23A000834	ENSXETP00000004623
PECUL23A000836	ENSXETP00000097719
PECUL23A000837	ENSXETP00000068455
PECUL23A000846	ENSXETP00000034808
PECUL23A000847	ENSXETP00000087936
PECUL23A000872	ENSXETP00000089700
PECUL23A000875	ENSXETP00000043623
PECUL23A000876	ENSXETP00000045732
PECUL23A000877	ENSXETP00000095043
PECUL23A000878	ENSXETP00000054060
PECUL23A000882	ENSXETP00000032363
PECUL23A000884	ENSXETP00000072831
PECUL23A000885	ENSXETP00000072826
PECUL23A000886	ENSXETP00000071026
PECUL23A000887	ENSXETP00000097217
PECUL23A000890	ENSXETP00000066019
PECUL23A000904	ENSXETP00000094103
PECUL23A000905	ENSXETP00000002749
PECUL23A000906	ENSXETP00000019176
PECUL23A000910	ENSXETP00000098314
PECUL23A000914	ENSXETP00000046435
PECUL23A000915	ENSXETP00000075928
PECUL23A000916	ENSXETP00000064123
PECUL23A000929	ENSXETP00000048393
PECUL23A000932	ENSXETP00000096504
PECUL23A000933	ENSXETP00000087875
PECUL23A000935	ENSXETP00000072826
PECUL23A000938	ENSXETP00000090309
PECUL23A000939	ENSXETP00000072826
PECUL23A000940	ENSXETP00000072826
PECUL23A000941	ENSXETP00000078378
PECUL23A000944	ENSXETP00000048326
PECUL23A000945	ENSXETP00000066019
PECUL23A000948	ENSXETP00000089611
PECUL23A000949	ENSXETP00000062686
PECUL23A000951	ENSXETP00000081250
PECUL23A000952	ENSXETP00000088433
PECUL23A000955	ENSXETP00000085487
PECUL23A000956	ENSXETP00000009702
PECUL23A000958	ENSXETP00000084408
PECUL23A000959	ENSXETP00000072826
PECUL23A000961	ENSXETP00000047056
PECUL23A000962	ENSXETP00000079620
PECUL23A000963	ENSXETP00000076047
PECUL23A000967	ENSXETP00000066019
PECUL23A000969	ENSXETP00000020383
PECUL23A000974	ENSXETP00000069206
PECUL23A000980	ENSXETP00000029078
PECUL23A000984	ENSXETP00000016821
PECUL23A000985	ENSXETP00000018232
PECUL23A000987	ENSXETP00000088979
PECUL23A000988	ENSXETP00000090774
PECUL23A000990	ENSXETP00000042738
PECUL23A000991	ENSXETP00000086177
PECUL23A000993	ENSXETP00000030773
PECUL23A000996	ENSXETP00000043046
PECUL23A001000	ENSXETP00000069031
PECUL23A001002	ENSXETP00000066019
PECUL23A001003	ENSXETP00000031650
PECUL23A001005	ENSXETP00000095806
PECUL23A001006	ENSXETP00000032645
PECUL23A001007	ENSXETP00000060409
PECUL23A001008	ENSXETP00000083227
PECUL23A001009	ENSXETP00000066019
PECUL23A001013	ENSXETP00000041733
PECUL23A001022	ENSXETP00000024210
PECUL23A001023	ENSXETP00000100483
PECUL23A001026	ENSXETP00000045515
PECUL23A001027	ENSXETP00000056281
PECUL23A001028	ENSXETP00000100937
PECUL23A001035	ENSXETP00000079367
PECUL23A001037	ENSXETP00000076970
PECUL23A001039	ENSXETP00000066943
PECUL23A001040	ENSXETP00000075928
PECUL23A001042	ENSXETP00000008148
PECUL23A001043	ENSXETP00000071026
PECUL23A001044	ENSXETP00000071032
PECUL23A001045	ENSXETP00000098088
PECUL23A001047	ENSXETP00000006663
PECUL23A001048	ENSXETP00000064354
PECUL23A001050	ENSXETP00000089410
PECUL23A001051	ENSXETP00000089245
PECUL23A001054	ENSXETP00000078484
PECUL23A001056	ENSXETP00000021243
PECUL23A001060	ENSXETP00000056610
PECUL23A001061	ENSXETP00000073341
PECUL23A001062	ENSXETP00000097521
PECUL23A001064	ENSXETP00000001033
PECUL23A001067	ENSXETP00000082163
PECUL23A001068	ENSXETP00000061781
PECUL23A001073	ENSXETP00000028295
PECUL23A001074	ENSXETP00000087461
PECUL23A001075	ENSXETP00000089410
PECUL23A001077	ENSXETP00000065636
PECUL23A001078	ENSXETP00000076675
PECUL23A001081	ENSXETP00000043777
PECUL23A001084	ENSXETP00000056952
PECUL23A001090	ENSXETP00000078675
PECUL23A001093	ENSXETP00000026719
PECUL23A001094	ENSXETP00000100751
PECUL23A001095	ENSXETP00000065613
PECUL23A001097	ENSXETP00000090061
PECUL23A001103	ENSXETP00000065233
PECUL23A001108	ENSXETP00000062968
PECUL23A001109	ENSXETP00000028216
PECUL23A001111	ENSXETP00000098088
PECUL23A001114	ENSXETP00000036389
PECUL23A001115	ENSXETP00000037202
PECUL23A001117	ENSXETP00000040594
PECUL23A001121	ENSXETP00000066070
PECUL23A001122	ENSXETP00000000870
PECUL23A001127	ENSXETP00000022669
PECUL23A001129	ENSXETP00000014698
PECUL23A001130	ENSXETP00000009722
PECUL23A001131	ENSXETP00000089823
PECUL23A001135	ENSXETP00000080906
PECUL23A001136	ENSXETP00000051692
PECUL23A001137	ENSXETP00000073824
PECUL23A001141	ENSXETP00000051846
PECUL23A001143	ENSXETP00000097361
PECUL23A001147	ENSXETP00000094144
PECUL23A001149	ENSXETP00000012605
PECUL23A001153	ENSXETP00000100751
PECUL23A001155	ENSXETP00000021366
PECUL23A001159	ENSXETP00000037199
PECUL23A001161	ENSXETP00000049562
PECUL23A001162	ENSXETP00000062686
PECUL23A001163	ENSXETP00000050945
PECUL23A001165	ENSXETP00000090774
PECUL23A001166	ENSXETP00000090774
PECUL23A001173	ENSXETP00000058774
PECUL23A001175	ENSXETP00000032273
PECUL23A001179	ENSXETP00000043169
PECUL23A001181	ENSXETP00000016595
PECUL23A001182	ENSXETP00000099444
PECUL23A001184	ENSXETP00000039378
PECUL23A001187	ENSXETP00000067776
PECUL23A001188	ENSXETP00000076813
PECUL23A001190	ENSXETP00000101558
PECUL23A001193	ENSXETP00000076034
PECUL23A001207	ENSXETP00000066152
PECUL23A001212	ENSXETP00000066019
PECUL23A001213	ENSXETP00000015404
PECUL23A001217	ENSXETP00000094837
PECUL23A001219	ENSXETP00000069606
PECUL23A001222	ENSXETP00000036572
PECUL23A001223	ENSXETP00000058901
PECUL23A001225	ENSXETP00000029812
PECUL23A001227	ENSXETP00000095130
PECUL23A001229	ENSXETP00000014954
PECUL23A001230	ENSXETP00000090134
PECUL23A001232	ENSXETP00000079124
PECUL23A001235	ENSXETP00000064036
PECUL23A001238	ENSXETP00000067973
PECUL23A001239	ENSXETP00000060880
PECUL23A001242	ENSXETP00000077483
PECUL23A001243	ENSXETP00000046851
PECUL23A001244	ENSXETP00000067994
PECUL23A001248	ENSXETP00000093972
PECUL23A001255	ENSXETP00000060006
PECUL23A001258	ENSXETP00000058543
PECUL23A001260	ENSXETP00000063715
PECUL23A001262	ENSXETP00000028011
PECUL23A001264	ENSXETP00000048741
PECUL23A001270	ENSXETP00000062144
PECUL23A001272	ENSXETP00000071874
PECUL23A001276	ENSXETP00000033260
PECUL23A001280	ENSXETP00000072272
PECUL23A001292	ENSXETP00000003094
PECUL23A001293	ENSXETP00000068409
PECUL23A001294	ENSXETP00000012482
PECUL23A001297	ENSXETP00000001504
PECUL23A001298	ENSXETP00000074203
PECUL23A001299	ENSXETP00000012446
PECUL23A001300	ENSXETP00000051090
PECUL23A001301	ENSXETP00000083759
PECUL23A001309	ENSXETP00000050022
PECUL23A001311	ENSXETP00000087357
PECUL23A001314	ENSXETP00000028675
PECUL23A001315	ENSXETP00000089245
PECUL23A001316	ENSXETP00000076757
PECUL23A001317	ENSXETP00000092919
PECUL23A001320	ENSXETP00000020728
PECUL23A001321	ENSXETP00000065467
PECUL23A001325	ENSXETP00000086758
PECUL23A001326	ENSXETP00000089107
PECUL23A001328	ENSXETP00000081745
PECUL23A001333	ENSXETP00000017701
PECUL23A001334	ENSXETP00000091205
PECUL23A001335	ENSXETP00000061898
PECUL23A001336	ENSXETP00000027636
PECUL23A001340	ENSXETP00000085982
PECUL23A001342	ENSXETP00000089245
PECUL23A001343	ENSXETP00000063386
PECUL23A001345	ENSXETP00000076458
PECUL23A001348	ENSXETP00000048626
PECUL23A001350	ENSXETP00000080674
PECUL23A001352	ENSXETP00000032204
PECUL23A001354	ENSXETP00000045489
PECUL23A001355	ENSXETP00000041907
PECUL23A001362	ENSXETP00000013302
PECUL23A001364	ENSXETP00000017154
PECUL23A001367	ENSXETP00000066658
PECUL23A001375	ENSXETP00000088868
PECUL23A001378	ENSXETP00000100747
PECUL23A001381	ENSXETP00000063491
PECUL23A001387	ENSXETP00000067885
PECUL23A001388	ENSXETP00000034305
PECUL23A001394	ENSXETP00000099782
PECUL23A001398	ENSXETP00000099118
PECUL23A001399	ENSXETP00000062490
PECUL23A001402	ENSXETP00000066019
PECUL23A001403	ENSXETP00000041428
PECUL23A001405	ENSXETP00000071660
PECUL23A001407	ENSXETP00000021296
PECUL23A001408	ENSXETP00000001136
PECUL23A001409	ENSXETP00000098088
PECUL23A001410	ENSXETP00000083791
PECUL23A001412	ENSXETP00000012127
PECUL23A001415	ENSXETP00000009548
PECUL23A001416	ENSXETP00000061898
PECUL23A001417	ENSXETP00000098220
PECUL23A001424	ENSXETP00000027357
PECUL23A001425	ENSXETP00000089410
PECUL23A001427	ENSXETP00000050850
PECUL23A001428	ENSXETP00000042239
PECUL23A001431	ENSXETP00000066771
PECUL23A001435	ENSXETP00000084839
PECUL23A001436	ENSXETP00000024815
PECUL23A001437	ENSXETP00000065364
PECUL23A001438	ENSXETP00000048572
PECUL23A001441	ENSXETP00000051929
PECUL23A001450	ENSXETP00000101518
PECUL23A001451	ENSXETP00000100751
PECUL23A001453	ENSXETP00000098088
PECUL23A001454	ENSXETP00000082731
PECUL23A001456	ENSXETP00000090865
PECUL23A001457	ENSXETP00000076563
PECUL23A001458	ENSXETP00000031419
PECUL23A001460	ENSXETP00000030811
PECUL23A001461	ENSXETP00000059970
PECUL23A001464	ENSXETP00000065265
PECUL23A001465	ENSXETP00000092415
PECUL23A001469	ENSXETP00000044302
PECUL23A001472	ENSXETP00000011458
PECUL23A001474	ENSXETP00000014758
PECUL23A001475	ENSXETP00000028146
PECUL23A001478	ENSXETP00000001789
PECUL23A001483	ENSXETP00000029498
PECUL23A001484	ENSXETP00000100204
PECUL23A001487	ENSXETP00000089356
PECUL23A001490	ENSXETP00000061491
PECUL23A001491	ENSXETP00000062837
PECUL23A001492	ENSXETP00000061723
PECUL23A001493	ENSXETP00000047748
PECUL23A001495	ENSXETP00000064428
PECUL23A001496	ENSXETP00000088525
PECUL23A001498	ENSXETP00000075928
PECUL23A001502	ENSXETP00000097713
PECUL23A001504	ENSXETP00000093027
PECUL23A001511	ENSXETP00000065344
PECUL23A001512	ENSXETP00000016682
PECUL23A001517	ENSXETP00000012041
PECUL23A001519	ENSXETP00000020868
PECUL23A001525	ENSXETP00000096209
PECUL23A001530	ENSXETP00000097714
PECUL23A001531	ENSXETP00000033236
PECUL23A001532	ENSXETP00000017940
PECUL23A001533	ENSXETP00000064869
PECUL23A001534	ENSXETP00000090296
PECUL23A001537	ENSXETP00000074678
PECUL23A001542	ENSXETP00000049325
PECUL23A001543	ENSXETP00000066468
PECUL23A001544	ENSXETP00000072750
PECUL23A001548	ENSXETP00000007104
PECUL23A001553	ENSXETP00000040493
PECUL23A001555	ENSXETP00000076694
PECUL23A001557	ENSXETP00000075928
PECUL23A001558	ENSXETP00000088526
PECUL23A001561	ENSXETP00000089245
PECUL23A001563	ENSXETP00000049978
PECUL23A001564	ENSXETP00000006819
PECUL23A001566	ENSXETP00000024370
PECUL23A001568	ENSXETP00000085718
PECUL23A001576	ENSXETP00000093981
PECUL23A001577	ENSXETP00000048851
PECUL23A001582	ENSXETP00000077361
PECUL23A001584	ENSXETP00000057195
PECUL23A001585	ENSXETP00000066019
PECUL23A001587	ENSXETP00000025480
PECUL23A001589	ENSXETP00000028947
PECUL23A001593	ENSXETP00000100559
PECUL23A001594	ENSXETP00000089410
PECUL23A001596	ENSXETP00000016039
PECUL23A001597	ENSXETP00000090088
PECUL23A001598	ENSXETP00000066019
PECUL23A001602	ENSXETP00000038066
PECUL23A001607	ENSXETP00000100751
PECUL23A001608	ENSXETP00000086279
PECUL23A001611	ENSXETP00000093298
PECUL23A001613	ENSXETP00000063947
PECUL23A001616	ENSXETP00000053590
PECUL23A001620	ENSXETP00000085763
PECUL23A001623	ENSXETP00000000620
PECUL23A001626	ENSXETP00000090879
PECUL23A001629	ENSXETP00000045993
PECUL23A001632	ENSXETP00000034490
PECUL23A001634	ENSXETP00000066019
PECUL23A001636	ENSXETP00000095648
PECUL23A001639	ENSXETP00000066702
PECUL23A001641	ENSXETP00000075928
PECUL23A001642	ENSXETP00000022341
PECUL23A001644	ENSXETP00000011183
PECUL23A001645	ENSXETP00000073604
PECUL23A001649	ENSXETP00000029946
PECUL23A001653	ENSXETP00000072073
PECUL23A001654	ENSXETP00000100747
PECUL23A001655	ENSXETP00000051573
PECUL23A001661	ENSXETP00000057152
PECUL23A001662	ENSXETP00000095277
PECUL23A001665	ENSXETP00000069260
PECUL23A001666	ENSXETP00000062666
PECUL23A001669	ENSXETP00000061939
PECUL23A001675	ENSXETP00000003402
PECUL23A001678	ENSXETP00000098362
PECUL23A001691	ENSXETP00000021458
PECUL23A001692	ENSXETP00000060102
PECUL23A001697	ENSXETP00000077031
PECUL23A001698	ENSXETP00000063547
PECUL23A001699	ENSXETP00000054522
PECUL23A001706	ENSXETP00000041147
PECUL23A001708	ENSXETP00000061888
PECUL23A001713	ENSXETP00000027561
PECUL23A001715	ENSXETP00000086177
PECUL23A001719	ENSXETP00000094391
PECUL23A001720	ENSXETP00000066019
PECUL23A001722	ENSXETP00000071032
PECUL23A001724	ENSXETP00000017086
PECUL23A001725	ENSXETP00000066019
PECUL23A001727	ENSXETP00000008399
PECUL23A001732	ENSXETP00000013631
PECUL23A001734	ENSXETP00000059199
PECUL23A001736	ENSXETP00000100751
PECUL23A001737	ENSXETP00000101503
PECUL23A001740	ENSXETP00000056284
PECUL23A001753	ENSXETP00000063161
PECUL23A001754	ENSXETP00000086177
PECUL23A001755	ENSXETP00000089734
PECUL23A001756	ENSXETP00000097683
PECUL23A001758	ENSXETP00000061835
PECUL23A001762	ENSXETP00000053525
PECUL23A001767	ENSXETP00000089410
PECUL23A001768	ENSXETP00000041146
PECUL23A001769	ENSXETP00000022780
PECUL23A001770	ENSXETP00000069290
PECUL23A001772	ENSXETP00000020721
PECUL23A001773	ENSXETP00000070328
PECUL23A001774	ENSXETP00000059984
PECUL23A001780	ENSXETP00000076595
PECUL23A001782	ENSXETP00000053508
PECUL23A001786	ENSXETP00000080292
PECUL23A001795	ENSXETP00000044566
PECUL23A001796	ENSXETP00000058417
PECUL23A001797	ENSXETP00000060593
PECUL23A001798	ENSXETP00000089410
PECUL23A001800	ENSXETP00000066019
PECUL23A001803	ENSXETP00000050201
PECUL23A001805	ENSXETP00000057738
PECUL23A001811	ENSXETP00000091584
PECUL23A001812	ENSXETP00000088526
PECUL23A001820	ENSXETP00000033953
PECUL23A001823	ENSXETP00000094614
PECUL23A001825	ENSXETP00000095694
PECUL23A001826	ENSXETP00000093091
PECUL23A001829	ENSXETP00000044578
PECUL23A001831	ENSXETP00000012480
PECUL23A001832	ENSXETP00000025282
PECUL23A001836	ENSXETP00000086727
PECUL23A001837	ENSXETP00000045489
PECUL23A001838	ENSXETP00000060597
PECUL23A001841	ENSXETP00000075746
PECUL23A001842	ENSXETP00000084114
